2019-04-09 14:50:12 status half-installed base-files:arm64 10.1ubuntu2
2019-04-09 14:50:12 status half-installed base-files:arm64 10.1ubuntu2
2019-04-09 14:50:12 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:12 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:13 upgrade base-passwd:arm64 3.5.44 3.5.44
2019-04-09 14:50:13 status half-configured base-passwd:arm64 3.5.44
2019-04-09 14:50:13 status unpacked base-passwd:arm64 3.5.44
2019-04-09 14:50:13 status half-installed base-passwd:arm64 3.5.44
2019-04-09 14:50:13 status half-installed base-passwd:arm64 3.5.44
2019-04-09 14:50:13 status unpacked base-passwd:arm64 3.5.44
2019-04-09 14:50:13 status unpacked base-passwd:arm64 3.5.44
2019-04-09 14:50:13 install bash:arm64 <none> 4.4.18-2ubuntu1
2019-04-09 14:50:13 status half-installed bash:arm64 4.4.18-2ubuntu1
2019-04-09 14:50:13 status unpacked bash:arm64 4.4.18-2ubuntu1
2019-04-09 14:50:13 status unpacked bash:arm64 4.4.18-2ubuntu1
2019-04-09 14:50:13 install bsdutils:arm64 <none> 1:2.31.1-0.4ubuntu3
2019-04-09 14:50:13 status half-installed bsdutils:arm64 1:2.31.1-0.4ubuntu3
2019-04-09 14:50:14 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2019-04-09 14:50:14 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2019-04-09 14:50:14 install coreutils:arm64 <none> 8.28-1ubuntu1
2019-04-09 14:50:14 status half-installed coreutils:arm64 8.28-1ubuntu1
2019-04-09 14:50:14 status unpacked coreutils:arm64 8.28-1ubuntu1
2019-04-09 14:50:14 status unpacked coreutils:arm64 8.28-1ubuntu1
2019-04-09 14:50:14 install dash:arm64 <none> 0.5.8-2.10
2019-04-09 14:50:14 status half-installed dash:arm64 0.5.8-2.10
2019-04-09 14:50:15 status unpacked dash:arm64 0.5.8-2.10
2019-04-09 14:50:15 status unpacked dash:arm64 0.5.8-2.10
2019-04-09 14:50:15 upgrade debconf:all 1.5.66 1.5.66
2019-04-09 14:50:15 status half-configured debconf:all 1.5.66
2019-04-09 14:50:15 status unpacked debconf:all 1.5.66
2019-04-09 14:50:15 status half-installed debconf:all 1.5.66
2019-04-09 14:50:15 status half-installed debconf:all 1.5.66
2019-04-09 14:50:16 status unpacked debconf:all 1.5.66
2019-04-09 14:50:16 status unpacked debconf:all 1.5.66
2019-04-09 14:50:16 install debianutils:arm64 <none> 4.8.4
2019-04-09 14:50:16 status half-installed debianutils:arm64 4.8.4
2019-04-09 14:50:16 status unpacked debianutils:arm64 4.8.4
2019-04-09 14:50:16 status unpacked debianutils:arm64 4.8.4
2019-04-09 14:50:16 install diffutils:arm64 <none> 1:3.6-1
2019-04-09 14:50:16 status half-installed diffutils:arm64 1:3.6-1
2019-04-09 14:50:16 status unpacked diffutils:arm64 1:3.6-1
2019-04-09 14:50:16 status unpacked diffutils:arm64 1:3.6-1
2019-04-09 14:50:16 upgrade dpkg:arm64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2019-04-09 14:50:16 status half-configured dpkg:arm64 1.19.0.5ubuntu2
2019-04-09 14:50:16 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-04-09 14:50:16 status half-installed dpkg:arm64 1.19.0.5ubuntu2
2019-04-09 14:50:17 status half-installed dpkg:arm64 1.19.0.5ubuntu2
2019-04-09 14:50:17 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-04-09 14:50:17 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-04-09 14:50:17 install e2fsprogs:arm64 <none> 1.44.1-1
2019-04-09 14:50:17 status half-installed e2fsprogs:arm64 1.44.1-1
2019-04-09 14:50:17 status unpacked e2fsprogs:arm64 1.44.1-1
2019-04-09 14:50:17 status unpacked e2fsprogs:arm64 1.44.1-1
2019-04-09 14:50:17 install fdisk:arm64 <none> 2.31.1-0.4ubuntu3
2019-04-09 14:50:17 status half-installed fdisk:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:17 status unpacked fdisk:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:17 status unpacked fdisk:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:18 install findutils:arm64 <none> 4.6.0+git+20170828-2
2019-04-09 14:50:18 status half-installed findutils:arm64 4.6.0+git+20170828-2
2019-04-09 14:50:18 status unpacked findutils:arm64 4.6.0+git+20170828-2
2019-04-09 14:50:18 status unpacked findutils:arm64 4.6.0+git+20170828-2
2019-04-09 14:50:18 install gcc-8-base:arm64 <none> 8-20180414-1ubuntu2
2019-04-09 14:50:18 status half-installed gcc-8-base:arm64 8-20180414-1ubuntu2
2019-04-09 14:50:18 status unpacked gcc-8-base:arm64 8-20180414-1ubuntu2
2019-04-09 14:50:18 status unpacked gcc-8-base:arm64 8-20180414-1ubuntu2
2019-04-09 14:50:18 install grep:arm64 <none> 3.1-2
2019-04-09 14:50:18 status half-installed grep:arm64 3.1-2
2019-04-09 14:50:18 status unpacked grep:arm64 3.1-2
2019-04-09 14:50:18 status unpacked grep:arm64 3.1-2
2019-04-09 14:50:18 install gzip:arm64 <none> 1.6-5ubuntu1
2019-04-09 14:50:18 status half-installed gzip:arm64 1.6-5ubuntu1
2019-04-09 14:50:19 status unpacked gzip:arm64 1.6-5ubuntu1
2019-04-09 14:50:19 status unpacked gzip:arm64 1.6-5ubuntu1
2019-04-09 14:50:19 install hostname:arm64 <none> 3.20
2019-04-09 14:50:19 status half-installed hostname:arm64 3.20
2019-04-09 14:50:19 status unpacked hostname:arm64 3.20
2019-04-09 14:50:19 status unpacked hostname:arm64 3.20
2019-04-09 14:50:19 install init-system-helpers:all <none> 1.51
2019-04-09 14:50:19 status half-installed init-system-helpers:all 1.51
2019-04-09 14:50:19 status unpacked init-system-helpers:all 1.51
2019-04-09 14:50:19 status unpacked init-system-helpers:all 1.51
2019-04-09 14:50:19 install libacl1:arm64 <none> 2.2.52-3build1
2019-04-09 14:50:19 status half-installed libacl1:arm64 2.2.52-3build1
2019-04-09 14:50:19 status unpacked libacl1:arm64 2.2.52-3build1
2019-04-09 14:50:19 status unpacked libacl1:arm64 2.2.52-3build1
2019-04-09 14:50:20 install libattr1:arm64 <none> 1:2.4.47-2build1
2019-04-09 14:50:20 status half-installed libattr1:arm64 1:2.4.47-2build1
2019-04-09 14:50:20 status unpacked libattr1:arm64 1:2.4.47-2build1
2019-04-09 14:50:20 status unpacked libattr1:arm64 1:2.4.47-2build1
